Indicador,Área geográfica,Periodo,DATA
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2007 Dic,95.86
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Ene,93.31
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Feb,94.57
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Mar,94.6
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Abr,93.59
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 May,96.09
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Jun,95.5
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Jul,94.31
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Ago,93.83
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Sep,93.12
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Oct,94.39
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Nov,94.65
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2008 Dic,94.42
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 Ene,92.18
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 Feb,92.78
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 Mar,92.29
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 Abr,93.64
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 May,92.78
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 Jun,92.49
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 Jul,92.82
"Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Tasa de ocupación por entidad federativa > Tasa de ocupación por entidad federativa (Porcentaje) Mensual",01 Aguascalientes,2009 Ago,90.7
