Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,
"Matrícula escolar por entidad federativa según nivel educativo, ciclos escolares seleccionados de 2000/2001 a 2024/2025",,,,,,,,,,
,,,,,,,,,,
Fecha de consulta: 17/04/2026 22:41:07,,,,,,,,,,
,,,,,,,,,,
Alumnos,,,,,,,,,,
Entidad federativa,Nivel educativo,2020/2021,2020/2021,2020/2021,2021/2022,2021/2022,2021/2022,2022/2023,2022/2023,2022/2023
Entidad federativa,Nivel educativo,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Nuevo León,Media superior,"181,775","92,325","89,450","180,964","90,570","90,394","191,213","96,372","94,841"
Nuevo León,Superior,"240,161","119,422","120,739","247,216","119,852","127,364","240,776","116,708","124,068"
Oaxaca,Total,"1,071,987","535,984","536,003","1,049,594","521,650","527,944","1,037,587","514,899","522,688"
Oaxaca,Inicial,"7,016","3,468","3,548","7,703","3,851","3,852","8,402","4,161","4,241"
Oaxaca,Preescolar,"155,564","77,999","77,565","155,630","78,298","77,332","159,111","79,980","79,131"
Oaxaca,Primaria,"465,357","236,066","229,291","457,931","232,305","225,626","456,863","231,482","225,381"
Oaxaca,Secundaria,"223,003","112,715","110,288","212,995","107,072","105,923","196,223","97,954","98,269"
Oaxaca,Media superior,"145,548","70,876","74,672","139,980","66,155","73,825","143,368","68,286","75,082"
Oaxaca,Superior,"75,499","34,860","40,639","75,355","33,969","41,386","73,620","33,036","40,584"
Puebla,Total,"1,906,264","943,885","962,379","1,881,792","927,318","954,474","1,904,981","938,699","966,282"
Puebla,Inicial,"4,532","2,369","2,163","3,920","2,017","1,903","5,178","2,603","2,575"
Puebla,Preescolar,"261,408","131,641","129,767","256,028","128,839","127,189","271,589","136,336","135,253"
Puebla,Primaria,"764,843","387,391","377,452","749,740","379,669","370,071","751,723","380,486","371,237"
Puebla,Secundaria,"343,687","172,021","171,666","337,035","167,775","169,260","337,866","168,200","169,666"
Puebla,Media superior,"286,217","136,442","149,775","275,548","130,573","144,975","276,283","131,681","144,602"
Puebla,Superior,"245,577","114,021","131,556","259,521","118,445","141,076","262,342","119,393","142,949"
Querétaro,Total,"636,515","316,200","320,315","633,977","313,021","320,956","635,300","313,566","321,734"
Querétaro,Inicial,"3,635","1,851","1,784","4,561","2,333","2,228","5,382","2,693","2,689"
Querétaro,Preescolar,"80,159","40,487","39,672","78,809","39,666","39,143","81,481","41,108","40,373"
Querétaro,Primaria,"257,565","131,154","126,411","256,512","130,363","126,149","253,497","128,675","124,822"
Querétaro,Secundaria,"121,345","60,650","60,695","123,297","61,505","61,792","120,125","59,777","60,348"
Querétaro,Media superior,"87,304","40,934","46,370","84,176","38,887","45,289","90,055","42,307","47,748"
Querétaro,Superior,"86,507","41,124","45,383","86,622","40,267","46,355","84,760","39,006","45,754"
Quintana Roo,Total,"442,142","222,708","219,434","441,568","221,878","219,690","456,332","229,662","226,670"
Quintana Roo,Inicial,"2,716","1,399","1,317","2,778","1,466","1,312","2,983","1,529","1,454"
